insul_thick,wwr,wall_thick,u_win_n,u_win_s,u_win_e,u_win_w,u_wall,u_roof,u_ground,shgc_n,shgc_s,shgc_e,shgc_w,window_type_id,roof_insul_thick,floor_num,public_area,room_area,room_count,building_length,building_width,aspect_ratio,floor_height,orientation_deg,equip_power,dhw_per_person,occupancy_density,light_power,cool_set,heat_set,dhw_temp,cop_cooling,cop_heating,boiler_eff,fan_eff,fresh_air_ach,operation_hours,sample_id,source_lhs_index,gross_floor_area_m2,footprint_area_m2,building_height_m,building_volume_m3,guestroom_total_area_m2,usable_area_m2,usable_area_ratio,geometry_feasible,estimated_people,daily_operation_hours,schedule_on_fraction,wall_R_m2K_W,roof_R_m2K_W,floor_R_m2K_W,glass_vt,ideal_cooling_supply_kwh,ideal_heating_supply_kwh,ideal_cooling_zone_kwh,ideal_heating_zone_kwh,smoke_test_load_model,ideal_cooling_load_kwh,ideal_heating_load_kwh,cooling_electricity_kwh,heating_electricity_kwh,lighting_electricity_kwh,equipment_electricity_kwh,fan_electricity_kwh,electricity_kwh,dhw_thermal_kwh,natural_gas_kwh,site_energy_kwh,eui_kwh_m2,simulation_mode
0.07235593505340099,0.4309051334040669,0.2526646695234981,1.5558414098937936,1.6423974380839454,1.8386905348667821,1.405053172405475,0.2635890801604486,0.3679140198240315,0.2325548680190882,0.2733770396537414,0.32076195412166064,0.4061580122505416,0.472646461977035,2,0.14305799201447833,9,116.02486621871074,29.77257452337061,180,45.043790445210774,18.0,2.0156477234016537,2.9658653079750765,12.44514926048059,3.3930388083892082,0.12149898756777489,0.19388120806076958,6.253855782258988,25.818940771290713,21.31833708959595,51.11589219404655,3.3444465381877486,3.812281333516322,0.923974043925134,0.6801677791131133,1.0402385429866445,2402.7608614873793,sample_0033,32,7297.0940521241455,810.788228013794,26.692787771775688,21642.19809822628,5359.06341420671,5475.088280425421,0.7503107732086379,True,288.0,6.582906469828436,0.27428776957618484,3.6237838676446414,2.5780263488689203,4.13006049117802,0.65,386075.1495711973,183192.85878185634,386075.1495711973,183192.85878185634,1.0,386075.1495711973,183192.85878185634,115437.68009531387,48053.34201631056,109649.92903748334,59490.73299974866,13254.93350076274,345886.6176496192,536355.9249260357,580488.0867080877,926374.7043577069,126.95118053028851,engineering_smoke_test
0.11340292434501065,0.5280033323774488,0.2512491456970124,1.8876324587402287,1.4275374547354736,1.126407974692354,1.930293979752934,0.4849586085393953,0.2388380316655312,0.36902567725064367,0.4748808251373522,0.4415969045172776,0.6462466929257074,0.5699192292704895,2,0.1301908859093221,9,92.9666974694296,24.40963959960712,220,38.716158421683566,16.533965594020128,2.3416135833551097,3.0518967165208926,41.78409397086041,3.1762320065016176,0.11561957161837219,0.21756105241169532,5.305410885977876,24.39746740327142,21.886439383651066,51.70134440760686,4.630434032081878,2.594682950161609,0.8539427279099518,0.6338296197308715,1.0033534549239702,2380.6824931803667,sample_0034,33,5761.184681490738,640.1316312767486,27.467070448688034,17582.540612712048,5370.120711913567,5463.087409382996,0.9482576434209001,True,352.0,6.522417789535251,0.27176740789730214,1.8920316505192334,4.04693787177245,2.539838533324596,0.65,346762.6077422035,160846.1849390321,346762.6077422035,160846.1849390321,1.0,346762.6077422035,160846.1849390321,74887.71146282727,61990.68943240785,72766.6362947315,43563.773696707474,11043.666344194284,264252.4772308684,633936.2409736973,742363.8849004237,1006616.3621312921,174.72384896205492,engineering_smoke_test
0.10163268260624707,0.4141020011997074,0.21921751024074088,1.0795106746791336,1.0096976250639222,0.8763155185961371,1.5228785993103826,0.7377204322006439,0.38156793158540364,0.2745255784464971,0.48588688930181906,0.3554547104707323,0.21599666393787492,0.5398059425908918,1,0.13300703662486774,17,147.6843332630961,29.245075059673105,182,36.330404243449316,12.285695366823333,2.957130480506382,3.1767713543973377,17.87005677968772,2.5684933808751618,0.1356177324862778,0.1411361127831276,6.603356125823005,24.138009409190538,20.172882702411343,46.969836141704434,3.7542533300426446,3.232020740428682,0.9392135670407056,0.6143566160257781,0.8354095275121995,2893.866348490597,sample_0039,38,7587.852744505588,446.344279088564,54.00511302475474,24104.87324013057,5322.603660860505,5470.2879941236015,0.7209270103567404,True,291.2,7.928400954768759,0.33035003978203165,1.1855270483928007,2.480765313911547,3.4726478205013316,0.55,416434.53736340144,193829.36433621662,416434.53736340144,193829.36433621662,1.0,416434.53736340144,193829.36433621662,110923.39827762,59971.57193691396,144998.0239050215,56399.57281474183,15809.238655079016,388101.8055893763,535843.3525699548,570523.4372394148,958625.242828791,126.3368274407984,engineering_smoke_test
0.07209313103740245,0.3303771764273946,0.2154376023596979,1.3441646918945132,1.3426081155591154,1.363663867028745,1.7271734993253094,0.524104078736366,0.4413823718057922,0.38986189631827173,0.21983193300247472,0.37636770119732693,0.48041303865508994,0.6019107359660819,3,0.0940313892478988,12,106.68703547800867,29.378637987342707,207,47.68987082672997,18.0,2.564011844455095,2.917961355690173,85.46256034673249,2.5794432560725387,0.062293216593795435,0.17890972571827446,5.311628592077446,24.08901169679748,21.061770740749562,45.256223271590486,4.247218016690414,3.50635980485234,0.9085353515605504,0.5704414556746552,1.0087008466140048,2050.619196090969,sample_0043,42,10301.012098573674,858.4176748811395,35.01553626828208,30057.95522813491,6081.378063379941,6188.065098857949,0.600723990967332,True,331.20000000000005,5.618134783810874,0.2340889493254531,1.7380179692763247,2.125609285456463,2.3950108652414435,0.75,521246.95639005204,274736.1434638266,521246.95639005204,274736.1434638266,1.0,521246.95639005204,274736.1434638266,122726.67763738359,78353.66555469521,112199.93770698358,54486.74876886383,18165.380836351796,385932.410504278,264932.5922963177,291604.05463722994,677536.465141508,65.77377627149112,engineering_smoke_test
0.07712562075456668,0.47747021372764725,0.2343552819358248,1.8285082534358417,1.3846065672342691,1.1187759992448147,0.8748214026975597,0.6999817446643897,0.20739932584047366,0.2825352135422164,0.4042839251367424,0.4095375187636465,0.2792432640889272,0.5455891533232857,1,0.12620417177984022,11,91.90410057743253,27.49519482390884,113,35.30450632406585,12.769416479786619,2.764770526511623,3.087582746390141,48.497068444226194,3.2075392606627418,0.09171286439256149,0.09357449411550048,5.039621315397737,24.5926040863095,19.831165187934612,52.84980339267886,3.6187511429083115,3.5601221656650974,0.8346293876366144,0.6947893034340098,0.5361552696592737,2331.560840815596,sample_0052,51,4958.9973935178305,450.81794486525735,33.96341021029155,15311.314791619334,3106.9570151016987,3198.861115679131,0.6450620683649749,True,180.8,6.387837920042728,0.2661599133351137,1.2586086853300094,4.681616444255826,3.3693818259421318,0.55,269797.65743082954,111019.82776394208,269797.65743082954,111019.82776394208,1.0,269797.65743082954,111019.82776394208,74555.46037188925,31184.27475176305,58269.13039878804,37086.223694575136,4591.403308417259,205686.49252543275,266367.9077123151,319145.13394571224,524831.626471145,105.83422107807121,engineering_smoke_test
0.08157664888958659,0.4524101417647972,0.27993521974745617,1.5188484835933878,1.9376526902101088,1.6268602955924583,1.7884857888508483,0.699843106359167,0.23052729171378003,0.39136709529336244,0.2256463424840919,0.38445464911695504,0.3265187103915045,0.4106629050326749,2,0.13614404107874767,8,95.60936366644145,22.53024750733105,161,43.1516153787929,18.0,2.3172202210622546,3.0764692767089397,46.804225128045275,3.0574405501157322,0.17415560782171835,0.20714943633597627,4.12364897374054,24.67119926627766,21.605919790387553,54.59637357082468,3.0053007489903765,2.8029460982872427,0.9387276433631284,0.6488953418043861,0.505996547549771,2589.0669814737234,sample_0055,54,6213.832614546177,776.7290768182721,24.611754213671517,19116.665129263296,3627.369848680299,3722.9792123467405,0.5991437882686909,True,257.6,7.093334195818421,0.2955555914924342,1.2588916914568982,4.197881179125586,2.385145826070064,0.65,321989.49920519494,163694.132814913,321989.49920519494,163694.132814913,1.0,321989.49920519494,163694.132814913,107140.52472564236,58400.742317142416,66341.38365980465,49188.19177964162,6432.459573934426,287503.30205616547,753925.30896819,803135.301595192,1090638.6036513576,175.51786012037783,engineering_smoke_test
0.09803487596197971,0.44710182032463097,0.24893443845586122,0.9595939710815957,1.8453974161127291,0.9337823064486677,1.3627935696204894,0.7866330180936133,0.25132403502848855,0.15121710489031295,0.22482793258004913,0.3480880438194746,0.5012689504146184,0.5366272055790522,2,0.10604453697636035,13,89.50010545038077,27.71957663854984,181,35.39545317942118,13.19016507425906,2.6834731013712863,3.1100704010279925,3.9392665104034332,2.885308412789586,0.09899810864469333,0.10377999149730698,6.354412863800762,24.54473639513815,20.86559483611349,48.64975514057787,4.662965771287405,2.3973483021938526,0.9029091438845595,0.6721188845707988,0.7899473799855994,2441.6280511602486,sample_0058,57,6069.33431409205,466.87187031477305,40.4309152133639,18876.057004201215,5017.2433715775205,5106.7434770279015,0.841400920224618,True,289.6,6.689391920986982,0.2787246633744576,1.101240816236619,3.8389270448671815,6.44300850009899,0.65,334331.1971566509,161499.498660425,334331.1971566509,161499.498660425,1.0,334331.1971566509,161499.498660425,71699.26041819193,67365.88859976424,94166.40587835788,42757.549581138395,9028.001044373023,285017.1055218255,409446.30011931347,453474.53051340766,738491.6360352332,121.67588697834135,engineering_smoke_test
0.07850835702669676,0.4857218154797609,0.26192281574170734,1.421127297097712,1.5385714487010445,1.4512953143829626,1.9942684307970127,0.7765200782675136,0.3572330471836388,0.17961406972957802,0.46695901883928687,0.3697062402537221,0.5447304176371687,0.6324302178972938,2,0.1064888858326041,16,131.73992615799432,25.828826905474102,237,37.53624871126515,17.086193770056664,2.196875981650574,2.9428734362078757,38.564726479149705,3.557476969007615,0.08527743921685436,0.2061844169788613,5.460226311897023,25.557550242682986,21.55147257822736,51.56315089997095,4.284523784854892,3.9158542792172684,0.8669153905228325,0.6672351192070607,0.5729955157529055,2650.7032046295935,sample_0060,59,10261.625902107458,641.3516188817161,47.08597497932601,30198.666279614717,6121.431976597362,6253.171902755356,0.6093743781354498,True,379.20000000000005,7.262200560629023,0.3025916900262093,1.1177967073705168,2.6592930885981025,5.397492577310744,0.65,551002.1726014273,291110.59171834093,551002.1726014273,291110.59171834093,1.0,551002.1726014273,291110.59171834093,128602.89737429678,74341.5283003152,148521.02046464413,96765.2400350626,11456.974379722215,459687.6605540409,501805.80579747405,578840.5780809098,1038528.2386349507,101.20503792889832,engineering_smoke_test
0.06881667349070245,0.43830612876030195,0.2641484765154323,1.7859452209347506,1.7477025778573916,1.7442673865122398,1.1345685317615355,0.4482285020791126,0.26412346336318976,0.22855372925260245,0.645674804571492,0.33537636645846025,0.38579971033561183,0.5300323292368159,1,0.0854695277883078,8,88.54355734214485,23.7533293994125,224,41.52538653740251,17.42182638402236,2.3835265960109466,2.9634723636393954,1.247872625076059,3.5172056142120733,0.12968532376905587,0.24687268654621825,5.675408072656368,24.91561226183284,21.424598331402308,48.42548598058555,4.931725516571564,2.7572326117548576,0.9357957765790355,0.566272795170178,1.030840523006515,2258.563298873654,sample_0064,63,5787.584598272368,723.448074784046,23.707778909115163,17151.347009205172,5320.7457854684,5409.289342810544,0.9346367644328263,True,358.40000000000003,6.187844654448367,0.25782686060201526,2.061004934673921,3.6461081604284593,4.205338802259397,0.55,317980.7728044288,152412.56591797475,317980.7728044288,152412.56591797475,1.0,317980.7728044288,152412.56591797475,64476.57553851104,55277.369514707294,74186.81264701272,45975.59692662668,11752.899835142804,251669.25446200054,659365.3933988941,704603.942335922,956273.1967979226,165.22837473224607,engineering_smoke_test
0.06923793531866207,0.39257427567699277,0.247460545267634,1.7889032681968862,1.9721899477267306,1.4272055723157577,1.9125508926987205,0.3349682671092826,0.2750011663038307,0.17441980533796614,0.33751783524844664,0.3847302811206678,0.5298667621424645,0.590985587193944,3,0.13720340129611375,12,82.43807321081731,26.165482656611708,223,38.100753583899774,18.0,2.0487504787306308,3.2034624923374624,78.5508846428002,3.89469641989974,0.11116351616859685,0.11348068407457623,5.164762076707589,25.449283793774846,20.463457551529167,50.06815450099111,4.231113048049451,2.9450639337608453,0.8564448653783476,0.597521963118223,0.6587720923463476,2417.3228171135784,sample_0065,64,8229.762774122351,685.8135645101959,38.44154990804955,26363.736367736055,5834.9026324244105,5917.340705635228,0.7190171658704065,True,356.8,6.622802238667338,0.2759500932778058,2.815357414986872,3.496348214229629,5.563293865695703,0.75,405484.80794455245,176849.55236010766,405484.80794455245,176849.55236010766,1.0,405484.80794455245,176849.55236010766,95834.07565332756,60049.47815658143,102747.74232219391,77481.06461278252,11710.398674287573,347822.759419173,590322.8852433481,689271.3227751841,1037094.0821943571,126.01749414398596,engineering_smoke_test
