feature,pre_mean,post_mean,mean_shift_pct,pre_std,post_std,ks_statistic,ks_p_value,jensen_shannon_distance
dhw_temp,50.00004652064604,50.132325914712766,0.2645585419847718,2.889654010291106,2.6272462339516536,0.07165289256198347,0.6672987527480257,0.2527903281485615
shgc_w,0.4249873736664506,0.4178111945453702,-1.6885628999210311,0.13004227225582177,0.13922299544990144,0.07140495867768595,0.6713531289000841,0.20409628279867018
orientation_deg,45.00228215790428,46.539179054161224,3.415153237927515,26.005009826097623,25.20248748036031,0.0628595041322314,0.8084493062202821,0.23236496124383255
operation_hours,2500.0398540697533,2475.8190917054967,-0.9688150500812287,288.9708212988979,292.5032722243318,0.06284297520661157,0.808742337491498,0.18798464820373448
shgc_n,0.4249982770043679,0.42925463793643903,1.001500750090667,0.13002453517097654,0.12863822087139487,0.062446280991735534,0.8146148081056477,0.24012697071023786
u_win_s,1.3999509106410513,1.4215033202555512,1.5395118107841999,0.3467617055044817,0.3291460968935336,0.061950413223140495,0.8217433054829784,0.23377460557519597
heat_set,20.49980444333185,20.538460337719897,0.18856713728614416,0.8668528603134946,0.8852612957897077,0.05877685950413223,0.86568201089214,0.20290635201928803
u_ground,0.27499381955071645,0.2808085709099089,2.1145025618003244,0.07225130055774145,0.07272560022468023,0.058330578512396696,0.8715052138263969,0.2025573034503346
boiler_eff,0.885004020899175,0.8839910623076701,-0.11445807788259543,0.037566202642692954,0.038758379197457796,0.05775206611570248,0.87883556183854,0.21064945595207202
cool_set,25.00000933096861,25.025519147438416,0.10203922779423724,0.5779712140195865,0.5527505618513041,0.05712396694214876,0.886515715427397,0.21511896354489946
shgc_s,0.3249966552462525,0.326942561300551,0.5987464864289471,0.07224209766965942,0.07442540103117665,0.05669421487603306,0.8917107682965976,0.33170781052743353
dhw_per_person,0.1299968932076677,0.1326461008479788,2.037900733580633,0.04045439517105361,0.041968175427864,0.056462809917355375,0.8943643553005839,0.2226754231290169
wall_thick,0.249996479598627,0.2505765349170502,0.2320253946593409,0.028894234869473935,0.02741881179867625,0.05297520661157025,0.9310789196493376,0.20278842093122923
u_win_e,1.3999885417624849,1.4090271895643263,0.6456229842040306,0.34675431885244623,0.34920157615755265,0.05099173553719008,0.9481638728027805,0.21457822463101645
u_win_n,1.400024068287679,1.404087931224766,0.2902709338459708,0.3467059989215161,0.3549278038375993,0.04816528925619835,0.967693189448793,0.2907533114983871
u_roof,0.32500451966515675,0.3242451584389987,-0.23364635880768203,0.07224058054916616,0.0738383399547405,0.04446280991735537,0.9849616444862195,0.2773825143837245
fan_eff,0.625003921696939,0.6238953961664331,-0.17736297197882278,0.04334108545838512,0.0416960650602571,0.044297520661157025,0.9855628947724688,0.13978663842802766
roof_insul_thick,0.11499989527793114,0.11502968632336098,0.025905280485560844,0.02022958153417682,0.020247422293545793,0.04257851239669422,0.9906244067853835,0.2443058824402837
light_power,5.500139054866366,5.517865598014623,0.32229263608478664,0.8670133005764307,0.8446977418862278,0.04047933884297521,0.9948639342050692,0.19599070917236577
room_area,26.000419966182964,25.990137674598056,-0.03954663654771595,2.311934251190973,2.3800546807613787,0.03398347107438016,0.9996317941249508,0.1652243616986854
window_type_id,2.0,1.9834710743801653,-0.8264462809917328,0.707814950398772,0.7414340954571323,0.030991735537190084,0.9999398112966745,0.03975444858456621
